confidence_percent,repeat,time_ms
50,34,0.351375
50,35,0.400334
50,36,0.426375
50,37,0.323417
50,38,0.324334
50,39,0.36975
50,40,0.325833
50,41,0.328875
50,42,0.352041
50,43,0.327625
50,44,0.328875
50,45,0.340875
50,46,0.350709
50,47,0.347583
50,48,0.323834
50,49,0.350208
50,50,0.328041
50,51,0.367292
50,52,0.3685
50,53,0.333208
50,54,0.355833
50,55,0.36
50,56,0.362333
50,57,0.38775
50,58,0.356667
50,59,0.327583
50,60,0.321584
50,61,0.3235
50,62,0.327416
50,63,0.330875
50,64,0.34625
50,65,0.330084
50,66,0.363334
50,67,0.334083
50,68,0.331667
50,69,0.342166
50,70,0.326666
50,71,0.327792
50,72,0.324333
50,73,0.342125
50,74,0.385667
50,75,0.346542
50,76,0.350042
50,77,0.33
50,78,0.333375
50,79,0.370834
50,80,0.386541
50,81,0.340208
50,82,0.394084
50,83,0.325084
50,84,0.327791
50,85,0.366666
50,86,0.399334
50,87,0.38025
50,88,0.3465
50,89,0.386958
50,90,0.352709
50,91,0.351375
50,92,0.332375
50,93,0.336
50,94,0.327083
50,95,0.384583
50,96,0.331875
50,97,0.331958
50,98,0.352458
50,99,0.352292
50,100,0.330917
